 RUSYA ÜNİVERSİTELERİ,,,,,,,,,
-KAYIT DANIŞMANLIK 1550 USD ,,,,,,,,,
-YAŞ SINIRI VE LİSE DİPLOMA PUANI ÖNEMLİDİR. 25 YAŞ ÜSTÜ HER OKULA ALINMAZ SADECE RUDİN ALIR.,,,,,,,,,
-VİZELİ BİR ÜLKEDİR. VİZE BİR HAFTADA ÇIKAR. ORTALAMA 180 USD,,,,,,,,,
-BÜTÜN ÖĞRENCİLER YURTTA KALIYOR ORTALAMA 200 USD,,,,,,,,,
,,,,,,,,,
,QS,THE,CWTS,ARWU(SHANGHAİ),,,,,
Matematik,Rusça ,4850$,,Uluslararası Pazarlama (2 YIL),Rusça,5550$,,,
Matematik ve Mekanik ,Rusça ,4850$,,Uluslararası İşletme Yönetimi (2 YIL),Rusça,5550$,,,
Uluslararası ilişkiler ,Rusça ,6150$,,Mikrobiyoloji (3 YIL),Rusça,6200$,,,
Pazarlama ,Rusça ,6350$,,Dünya Ekonomisi (3 YIL),Rusça,6100$,,,
İnsan Kaynakları ,Rusça ,6350$,,Genel Psikoloji (İletişim ve Etkileşim Sorunları)(3 YIL),Rusça,6100$,,,
İşletme ,Rusça ,6350$,,"Genel Psikoloji, Kişilik Psikolojisi, Psikoloji Tarihi(3 YIL)
",Rusça,6100$,,,
Siyaset Bilimi ,Rusça ,5550$,,Organik kimya (4 YIL),Rusça,6200$,,,
Hukuk ve Siyaset Bilimi ,Rusça ,6150$,,Yapay Zeka ve Veri Analizi (2 YIL),Rusça,5900$,,,
Psikoloji,Rusça ,4850$,,Rus Edebiyatı (3 YIL),Rusça,7900$,,,
Reklamcılık ve Halkla İlişkiler,Rusça ,6300$,,Adli Tıp (4 YIL),Rusça,6600$,,,
Dijital Pazarlama İletişim ,Rusça ,6300$,,Hemşirelik Yönetimi (2 YIL) ,Rusça,6650$,,,
Halkla İlişkiler ,Rusça ,6300$,,,,,,,
Reklamcılık,Rusça ,6300$,,,,,,,
Hemşirelik ,Rusça ,5450$,,,,,,,
Sosyoloji ,Rusça ,4850$,,,,,,,
Uluslararası Turizm ,Rusça ,6150$,,,,,,,
Filoloji ,Rusça ,5550$,,,,,,,
Felsefe ,Rusça ,4850$,,,,,,,
Yapay Zeka ve Akıllı Sistemler,Rusça ,6000$,,,,,,,
Kimya- Fizik,Rusça ,5450$,,,,,,,
Ekonmi ve İşletme ,Rusça ,6350$,,,,,,,
Muhasebe ve Denetim,Rusça ,6350$,,,,,,,
Finans ve Kredi ,Rusça ,6350$,,,,,,,
Hukuk ,Rusça ,6150$,,,,,,,
Hukuk Felsefesi,Rusça ,5550$,,,,,,,
Uluslararası Hukuk ,Rusça ,6150$,,,,,,,
Hukuk ve Siyaset ,Rusça ,6150$,,,,,,,
Tarih ,Rusça ,4850$,,,,,,,
Sanat ve Beşeri Bilimler,Rusça ,5000$,,,,,,,
Bilgisayar ve Bilişim Bilimleri,Rusça ,4850$,,,,,,,
Dijital Tasarım ve Web Geliştirme,Rusça ,6350$,,,,,,,
Uluslararası Yönetim,Rusça ,6350$,,,,,,,
Siyaset Bilimi ve Bölgesel Çalışmalar ,Rusça ,5550$,,,,,,,
Uygulamalı Bilgisayar Bilimi,Rusça ,5450$,,,,,,,
Eğitim Psikolojisi,Rusça ,4850$,,,,,,,
,,,,,,,,,
ST. PETERSBURG  DEVLET ÜNİVERSİTESİ,ÜCRET,DİL, EK GİDERLER,YÜKSEK LİSANS ,DİL,ÜCRET,DOKTORA,DİL,ÜCRET
Tıp,Rusça/İngilizce ,466.500/506.100 Ruble,Hazırlık 272.000 Ruble ,Yazılım Geliştirme ve Veri Bilimi ,Rusça,373.400 Ruble ,Matematiksel Mantık ve Cebir,Rusça,337.100 Ruble
Diş hekimliği ,Rusça/İngilizce ,437.000/474.000 Ruble ,10 Ay Hazırlık Eğitimi (1080 Saat),Oyun Teorisi ve Operayon Araştırması ,Rusça,373.400 Ruble ,Hesaplamalı Matematik,Rusça,337.100 Ruble
Eczacılık,Rusça,466.500 Ruble ,,Yapay Zeka Teknolojileri ,Rusça,355.600 Ruble ,Yapay Zeka ve Makine ,Rusça,345.900 Ruble
Hemşirelik ,Rusça/İngilizce ,390.300/427.100 Ruble ,,Mühendislik Odaklı Fizik ,Rusça,346.700 Ruble ,Matematiksel Modelleme ,Rusça,370.600 Ruble
Klinik Psikoloji ,Rusça,350.000 Ruble ,,Fizik ,Rusça,346.700 Ruble ,"Fizik (Teorik, Optik, Yoğun Madde,Plazma)",Rusça,367.400 Ruble
Oyunculuk ,Rusça,472.900 Ruble ,,Kimya ,Rusça,346.700 Ruble ,Manyetik Olaylar Fiziği ,Rusça,370.600 Ruble
Temel matematik ve Mekanik ,Rusça/İngilizce ,325.600 Ruble ,,Jeoloji ,Rusça,391.600 Ruble ,Atom Çekirdeği ve Temel Parçaları ,Rusça,370.600 Ruble
Matematik,Rusça,377.300 Ruble ,,Biyoloji ,Rusça,359.200 Ruble ,Lazer Fiziği ,Rusça,370.600 Ruble
Uygulamalı Matematik ve Bilgisayar Bilimleri (Yapay Zeka) ,Rusça,367.700 Ruble , ,Coğrafya ,Rusça,408.400 Ruble ,"Kimya (İnorganik, Analitik, Organik, Fiziksel)",Rusça,367.400 Ruble
Uygulamalı Matematik ve Bilgisayar Bilimleri ,Rusça,312.000 Ruble ,,Yazılım Mühendisliği ,Rusça,400.000 Ruble ,Elektrokimya ,Rusça,367.400 Ruble
Bilgisayar ve Modern Programlama ,Rusça,312.000 Ruble ,,Arazi Yönetimi ve Kadastro ,Rusça,375.300 Ruble ,Radyokimya,Rusça,367.400 Ruble
Mekanik ve Matematik Modelleme ,Rusça,368.600 Ruble ,,Psikoloji ,Rusça,344.800 Ruble ,Tıbbi Kimya ,Rusça,367.400 Ruble
Veri Bilimi,Rusça,356.700 Ruble ,,Psikoloji- Çocukların Ruh Sağlığı ,Rusça,344.800 Ruble ,Biyokimya ,Rusça,349.100 Ruble
Fizik,Rusça,387.400 Ruble ,,Psikoloji- Kişilik Psikolojisi ,Rusça,344.800 Ruble ,Genetik,Rusça,349.200 Ruble
Kimya ,Rusça,373.300 Ruble ,,Psikoloji- Beden Eğitimi ve Spor Psikolojisi ,Rusça,344.800 Ruble ,Botanik,Rusça,349.200 Ruble
"Malzemelerin Kimyası, Fiziği ve Mekaniği ",Rusça,357.900 Ruble ,,Ekonomi ,Rusça,488.300 Ruble ,Mikrobiyoloji ,Rusça,349.200 Ruble
Jeoloji ,Rusça,383.300 Ruble ,,Sosyoloji ,Rusça,475.000 Ruble ,Zooloji,Rusça,349.200 Ruble
Coğrafya ,Rusça,346.200 Ruble ,,"Hukuk Felsefesi( İflas, Medeni,Aile, Kamu, Vergi,İş, Ceza vb.)",Rusça,446.300 Ruble ,Ekoloji,Rusça,349.200 Ruble
Biyoloji ,Rusça,377.300 Ruble ,,Uluslararası İlişkiler ,Rusça/İngilizce ,473.800/508.000 Ruble ,Toprak Bilimi ,Rusça,349.200 Ruble
Toprak bilimi ,Rusça,352.600 Ruble ,,Gazetecilik ,Rusça,463.600 Ruble ,Mühendislik Jeolojisi/ Jeofizik,Rusça,444.800 Ruble 
Uygulamalı bilgisayar Bilimi ,Rusça,400.500 Ruble ,,Turizm,Rusça,383.900 Ruble ,Fiziksel Coğrafya ve Biyocoğrafya ,Rusça,340.600 Ruble
Yazılım Mühendisliği ,Rusça,400.500 Ruble ,,Pedogojik Eğitim,Rusça,223.300 Ruble ,Arazi Yönetimi ve Kadastro ,Rusça,340.600 Ruble
Arazi Yönetimi ve Kadastro ,Rusça,481.300 Ruble ,,Filoloji ,Rusça,451.700 Ruble ,"Coğrafya (Ekonomik, Sosyal, Siyasi) ",Rusça,340.600 Ruble
Psikoloji,Rusça,350.000 Ruble ,,,,,Jeoekoloji ,Rusça,444.800 Ruble 
Ekonomi ,Rusça,499.100 Ruble ,,,,,Bilgisayar Bilimi ,Rusça,345.900 Ruble 
Sosyoloji ,Rusça,302.200 Ruble,,,,,Tıp ,Rusça,379.800 Ruble 
Uluslararası ilişkiler ,Rusça,422.000 Ruble ,,,,,Diş Hekimliği ,Rusça,391.900 Ruble 
Reklamcılık ve Halkla İlişkiler ,Rusça,446.400 Ruble ,,,,,Hukuk ,Rusça,351.100 Ruble 
Gazetecilik ,Rusça,249.100 Ruble ,,,,,Dünya Ekonomisi/ Finans ,Rusça,351.100 Ruble 
Uluslararası Gazetecilik ,Rusça,427.700 Ruble ,,,,,"Psikoloji (Genel, Eğitim, Sosyal, Tıbbi)",Rusça,343.900 Ruble
Turizm,Rusça,389.100 Ruble ,,,,,"Sosyoloji (Ekonomik, Siyasal, Kültür)",Rusça,336.300 Ruble 
Filoloji( İngiliz Dili ve Edebiyatı),Rusça,410.100 Ruble ,,,,,Siyaset Tarihi/ Kamu Yönetimi,Rusça,327.500 Ruble 
Filoloji (İtalyan Dili ve Edebiyatı),Rusça,426.300 Ruble,,,,,Uluslararası İlişkiler,Rusça,336.800 Ruble 
Filoloji (Klasik Filoloji) ,Rusça,426.300 Ruble,,,,,"Tarih (Ulusal, Genel) / Arkeoloji ",Rusça,323.800 Ruble
Filoloji ( Rus Dili ve Edebiyatı),Rusça,426.300 Ruble,,,,,Uluslararası İlişkiler ve Dış Politika ,Rusça,332.900 Ruble 
Filoloji (Fransız Dili ve Edebiyatı),Rusça,426.300 Ruble,,,,,"Felsefe (Tarih, Bilim ve Teknoloji, Sosyal ve Politik, Din) ",Rusça,336.900 Ruble 
Dil Bilimi (Tercümanlık),Rusça,440.800 Ruble ,,,,,Dünya halklarının Edebiyatı ,Rusça,323.500 Ruble 
"Dil Bilimi (İspanyolca, Rusça, Slav)",Rusça,428.300 Ruble ,,,,,Edebiyat Teorisi / Rus Halklarının Dilleri ,Rusça,395.900 Ruble 
Tarih ,Rusça,313.600 Ruble ,,,,,Medya İletişimi ve Gazetecilik ,Rusça,271.200 Ruble 
Felsefe ,Rusça,313.600 Ruble ,,,,,"Teoloji (Din Bilimi- İslam, Yahudilik, Budizm vb.)",Rusça,336.900 Ruble 
Din Bilimleri ,Rusça,337.900 Ruble ,,,,,,,
Sanat Tarihi ,Rusça,469.600 Ruble ,,,,,,,
İlahiyat (Yahudi Yahudi ve Hristiyan Teolojisi),Rusça,337.900 Ruble ,,,,,,,
Müzecilik ,Rusça,295.500 Ruble ,,,,,,,
"Müzik ve Enstrüman (Org, Keman, Şarkı)",Rusça,591.100 Ruble ,,,,,,,
El sanatları ,Rusça,460.600 Ruble ,,,,,,,
Restorasyon,Rusça,518.800 Ruble ,,,,,,,
"Doğu Ve Afrika Çalışmaları Çeviri(Arapça, İbranice, Hintçe)                       ",Rusça,516.100 Ruble,,,,,,,
,,,,,,,,,
MOSKOVA DEVLET ULUSLARARASI İLİŞKİLER ENSTİTÜSÜ,DİL,ÜCRET,EK GİDERLER,,,,,,
TİCARET,Rusça,8310$,YURT ÜCRETİ,,,,,,
ULUSLARASI İLİŞKİLER,Rusça,8200$,60$-100$,,,,,,
SOSYOLOJİ,Rusça,8600$,SİGORTA,,,,,,
KAMU YÖNETİMİ ,Rusça,8820$,SAĞLIK MUAYENESİ ,,,,,,
SİYASET BİLİMİ ,Rusça,8820$,,,,,,,
YARGI YETKİSİ ,Rusça,9300$,,,,,,,
REKLAM VE HALKLA İLİŞKİLER ,Rusça,9330$,,,,,,,
GAZETECİLİK,Rusça,9750$,,,,,,,
İŞLETME,Rusça,9940$,,,,,,,
YABANCI BÖLGESEL ÇALIŞMALAR ,Rusça,10.000$,,,,,,,
EKONOMİ,Rusça,10.040$,,,,,,,
KAZAN DEVLET İNŞAAT ÜNİVERSİTESİ,DİL,ÜCRET,EK GİDERLER,YÜKSEK LİSANS ,DİL,ÜCRET,DOKTORA,DİL,ÜCRET
Mimarlık /  5 yıl,Rusça,187.335 Ruble ,HAZIRLIK YOK.,Mimarlık (Mimarlık Teorisi ve Bilimsel ve Tasarım Modellemesi),Rusça,199.968 Ruble ,"Gerçek, Entegre ve İşlevsel Analiz",Rusça,183.450 Ruble 
"Mimari Mirasın Yeniden İnşası, Restorasyonu / 5 yıl",Rusça,187.335 Ruble ,KONAKLAMA AYLIK ,Mimarlık (Binaların Mimari ve Yapısal Tasarımı),Rusça,199.968 Ruble ,Deforme Olabilen Katıların Mekaniği,Rusça,202.950 Ruble 
Mimarlık Çevre Tasarımı /5 yıl,Rusça,187.335 Ruble ,1.500-2.200 RUBLE ,Mimari Mirasın Restorasyonu ve Yeniden İnşası,Rusça,199.968 Ruble ,"Su Temini, Kanalizasyon, İnşaat Su Koruma Sistemleri",Rusça,190.310 Ruble 
Peyzaj Mimarlığı ,Rusça,187.335 Ruble ,,Mimari Çevre Tasarımı,Rusça,199.968 Ruble ,"Bina yapıları, Binalar ve Tesisler",Rusça,190.310 Ruble 
Şehir Planlama / 5 yıl,Rusça,187.335 Ruble ,,Şehir Planlama ,Rusça,199.968 Ruble ,Temeller ve Yeraltı Yapıları,Rusça,190.310 Ruble 
İnşaat Mühendisliği ,Rusça,187.335 Ruble ,,İnşaat Mühendisliği ,Rusça,199.968 Ruble ,"Isıtma, Havalandırma, Klima, Gaz Temini ve Aydınlatma",Rusça,190.310 Ruble 
Bilgi Sistemleri ve Teknolojileri ,Rusça,187.335 Ruble ,,Isı Enerjisi ve Isı Mühendisliği ,Rusça,199.968 Ruble ,Yapı Malzemeleri ve Ürünleri,Rusça,190.310 Ruble 
Teknosfer Güvenliği ,Rusça,187.335 Ruble ,,,,,İnşaat Teknolojisi ve Organizasyonu,Rusça,190.310 Ruble 
Isı Enerjisi Mühendisliği ve Isı Mühendisliği,Rusça,187.335 Ruble ,,,,,"Şehir Planlama, Kırsal Planlama Yerleşimleri 3 Yıl ",Rusça,190.310 Ruble 
Arazi Yönetimi ve Kadastro,Rusça,219.771 Ruble ,NİJNİY NOVGOROD ,,,,Bilgisayar Modelleme ve Otomasyon,Rusça,190.310 Ruble 
Yönetim,Rusça,167.355 Ruble ,,,,,Teorik ve Uygulamalı Isı Mühendisliği,Rusça,190.310 Ruble 
Konut ve Tesis Altyapısı,Rusça,167.355 Ruble ,,,,,Bölgesel ve Sektörel Ekonomi 3 Yıl ,Rusça,183.450 Ruble 
Tasarım/ Grafik Tasarım ,Rusça,320.567 Ruble ,,,,,Ulusal Tarih 3 Yıl ,Rusça,183.450 Ruble 
Taşıma Süreci Teknolojisi,Rusça,187.335 Ruble ,,,,,Mesleki Eğitim Metodolojisi ve Teknolojisi 3 Yıl,Rusça,183.450 Ruble 
Benzersiz Bina ve Yapıların İnşası / 6 yıl,Rusça,187.335 Ruble ,,,,,Sanat Türleri 3 Yıl,Rusça,183.450 Ruble 
,,,,,,,,,
KAZAN ULUSAL ARAŞTIRMA TEKNİK ÜNİVERSİTESİ,ÜCRET,DİL,EK GİDERLER,,,,,,
NANO TEKNOLOJİ MÜHENDİSLİĞİ :  ,1400$,Rusça,YURT ÜCRETİ,,,,,,
GEMİ İNŞA VE GEMİ MAKİNALARI MÜHENDİSLİĞİ ,1400$,Rusça,60$-100$,,,,,,
BİLGİSAYAR MÜHENDİSLİĞİ ,1400$,Rusça,SİGORTA,,,,,,
YAZILIM MÜHENDİSLİĞİ ,1400$,Rusça,SAĞLIK MUAYENESİ ,,,,,,
BİLGİ SİSTEMLERİ VE TEKNOLOJİLERİ ,1400$,Rusça,,,,,,,
UÇAK GÖVDE-MOTOR BAKIM ,1600$,Rusça,,,,,,,
BİYOMEDİKAL MÜHENDİSLİĞİ ,1600$,Rusça,,,,,,,
TELEKOMÜNİKASYON MÜHENDİSLİĞİ,1600$,Rusça,,,,,,,
BİLGİ İLETİŞİM TEKNOLOJİLERİ VE SİSTEMLERİ ,1600$,Rusça,,,,,,,
MÜZİK ALETLERİ YAPIMI ,1600$,Rusça,,,,,,,
GÜÇ VE ISI MÜHENDİSLİĞİ ,1600$,Rusça,,,,,,,
GÜÇVE MAKİNE MÜHENDİSLİĞİ ,1600$,Rusça,,,,,,,
KONTROL MÜHENDİSLİĞİ ,1600$,Rusça,,,,,,,
FİZİK MÜHENDİSLİĞİ ,1600$,Rusça,,,,,,,
ÇEVRE MÜHENDİSLİĞİ ,1600$,Rusça,,,,,,,
EKONOMİ ,1600$,Rusça,,,,,,,
OPTİK VE AKUSTİK MÜHENDİSLİĞİ ,1650$ ,Rusça,,,,,,,
UYGULAMALI BİLİŞİM ,1650$ ,Rusça,,,,,,,
ELEKTRONİK VE NANOELEKTRONİK MÜHENDİSLİĞİ,1650$ ,Rusça,,,,,,,
UÇAK MÜHENDİSLİĞİ ,1650$ ,Rusça,,,,,,,
MAKİNA MÜHENDİSLİĞİ ,1650$ ,Rusça,,,,,,,
ELEKTRİK MÜHENDİSLİĞİ ,1750$,Rusça,,,,,,,
MALZEME BİLİMİ VE MÜHENDİSLİĞİ ,1750$,Rusça,,,,,,,
