SIRBİSTAN,,,,,,,,,,,,,,,,,,,,,,,,,,
--DANIŞMANLIK VE HAZIRLIK PAKET : 4550€,,,,,,,,,,,,,,,,,,,,,,,,,,
"--ÖZELLİKLE ERKEK ÖĞRENCİLERDE  SINIRDA , YABANCILAR POLİSİNE KARŞI DAVRANIŞLARINA DİKKAT ETMELİLERDİR.",,,,,,,,,,,,,,,,,,,,,,,,,,
--VİZESİZ BİR ÜLKEDEDİR. OKUL BAŞLADIKTAN SONRA ÖĞRENCİ OTURUMU YAPILIR.,,,,,,,,,,,,,,,,,,,,,,,,,,
--OTURUM ALMAK İÇİN 1500€ TEMİNAT GÖSTERİLİYOR. 350-500 EURO ARASI OTURUM ÜCRETİ DEĞİŞİYOR.,,,,,,,,,,,,,,,,,,,,,,,,,,
--LİSE DENKLİKLERİ İÇİN ÖĞRENCİLER 100 EURO ÖDEYECEK.,,,,,,,,,,,,,,,,,,,,,,,,,,
"--YÖK'ÜN KARARINA UYGUN OLARAK TIP, DİŞ, ECZACILIK VE HUKUK OKUMAK İSTEYEN ÖĞRENCİLER İÇİN İLK BİN ÜNİVERSİTELERİ:",,,,,,,,,,,,,,,,,,,,,,,,,,
--BELGRAD ÜNİVERSİTESİ   QS 721-730     THE 801-1000  CWTS 199  ARWU 301-400,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
       BELGRAD DEVLET ÜNİVERSİTESİ   ,,DİL,,EK GİDERLER,YÜKSEK LİSANS 1*2 YIL 4000€,ÜCRET,,DOKTORA 3 YIL,ÜCRET,DİL,,,,,,,,,,,,,,,,ƒ
Kütüphanecilikte Onur Derecesi ile Lisans,3.000 €,Sırpça,,,Bilgi Teknolojisi - Mühendislik,4.000 €,Morfolojik Bilimler ve Tanısal Görüntüleme,,,,,,,,,,,,,,,,,,,
Bilgi teknolojisi - modüller:,3.000 €,Sırpça,,,Bilgi Teknolojileri - Yazılım Mühendisliği,4.000 €,"Klinik ve Deneysel Farmakoloji, Biyokimya ve Laboratuvar Tıbbı",,,,,,,,,,,,,,,,,,,
Bilgi Teknolojisi - mühendislik,3.000 €,Sırpça,,,Makine Mühendisliği,4.000 €,Modül: Fiziksel Tıp ve Rehabilitasyon ile Klinik ve Deneysel Fizyoloji,,,,,,,,,,,,,,,,,,,
Bilgi Teknolojileri Yönetimi,3.000 €,Sırpça,,,Mühendislik Yönetimi,4.000 €,Eczacılık bilimi,,,,,,,,,,,,,,,,,,,
Eğitimde bilgi teknolojisi ve tekniği,3.000 €,Sırpça,,,Giyim Mühendisliği,4.000 €,diş hekimliği,,,,,,,,,,,,,,,,,,,
Bilgi Teknolojileri - Yazılım Mühendisliği,3.000 €,Sırpça,,,Eğitimde Bilişim ve Teknoloji,4.000 €,Halk Sağlığı,,,,,,,,,,,,,,,,,,,
Mühendislik Yönetimi,3.000 €,Sırpça,,,Beden Eğitimi ve Spor,4.000 €,"İnsan Üreme, Perinatoloji ve Pediatri",,,,,,,,,,,,,,,,,,,
Makine Mühendisliği,3.000 €,Sırpça,,,"Beden Eğitimi, Fiziksel Aktivite ve Sağlık",4.000 €,nörobilimler,,,,,,,,,,,,,,,,,,,
Giyim Mühendisliği,3.000 €,Sırpça,,,İnşaat mühendisliği,4.000 €,"Enflamasyon, Enfeksiyonlar ve Bağışıklık",,,,,,,,,,,,,,,,,,,
Çevre Mühendisliği,3.000 €,Sırpça,,,jeodezi,4.000 €,Klinik ve Deneysel Dahiliye ve Onkoloji,,,,,,,,,,,,,,,,,,,
Petrol ve Gaz İşletmelerinde Endüstri Mühendisliği,3.000 €,Sırpça,,,pişmiş toprak heykel,4.000 €,Klinik ve Deneysel Cerrahi ve Anestezi,,,,,,,,,,,,,,,,,,,
Beden Eğitimi ve Spor 3 Yıl,3.000 €,Sırpça,,,Kompozisyon,4.000 €,hemşirelik,,,,,,,,,,,,,,,,,,,
İnşaat mühendisliği,3.000 €,Sırpça,,,müzikoloji,4.000 €,,,,,,,,,,,,,,,,,,,,
jeodezi,3.000 €,Sırpça,,,Müzik ve Medya,4.000 €,,,,,,,,,,,,,,,,,,,,
Kompozisyon,3.000 €,Sırpça,,,etnomüzikoloji,4.000 €,,,,,,,,,,,,,,,,,,,,
müzikoloji,3.000 €,Sırpça,,,Müzik Pedagojisi,4.000 €,,,,,,,,,,,,,,,,,,,,
etnomüzikoloji,3.000 €,Sırpça,,,Performans sanatları,4.000 €,,,,,,,,,,,,,,,,,,,,
Müzik Pedagojisi,3.000 €,Sırpça,,,"Gitar / Sahne Sanatları Ortak Yüksek Lisans Derecesi - Novi Sad Üniversitesi Sanat Akademisi Müzik Konservatuarı “Giuseppe Tartini”, Trieste, İtalya",4.000 €,,,,,,,,,,,,,,,,,,,,
Performans sanatları,3.000 €,Sırpça,,,Güzel Sanatlar Bölümü,4.000 €,,,,,,,,,,,,,,,,,,,,
Güzel Sanatlar Bölümü,3.000 €,Sırpça,,,Güzel Sanatlar,4.000 €,,,,,,,,,,,,,,,,,,,,
Uygulamalı Sanatlar ve Tasarım,3.000 €,Sırpça,,,Uygulamalı Sanatlar ve Tasarım,4.000 €,,,,,,,,,,,,,,,,,,,,
Drama Bölümü,3.000 €,Sırpça,,,Güzel ve Uygulamalı Sanatların Konservasyonu ve Restorasyonu,4.000 €,,,,,,,,,,,,,,,,,,,,
Sırp Dili Oyunculuk,3.000 €,Sırpça,,,Drama Bölümü,4.000 €,,,,,,,,,,,,,,,,,,,,
Macar Dili Oyunculuk (iki yılda bir kayıt),3.000 €,Sırpça,,,Sırp Dili Oyunculuk,4.000 €,,,,,,,,,,,,,,,,,,,,
Dramaturji (iki yılda bir kayıt),3.000 €,Sırpça,,,Macar Dili Oyunculuk (iki yılda bir kayıt),4.000 €,,,,,,,,,,,,,,,,,,,,
Görsel-işitsel Medya,3.000 €,Sırpça,,,Dramaturji (iki yılda bir kayıt),4.000 €,,,,,,,,,,,,,,,,,,,,
Multimedya Yönetmenliği (iki yılda bir kayıt),3.000 €,Sırpça,,,Multimedya Yönetmenliği (iki yılda bir kayıt),4.000 €,,,,,,,,,,,,,,,,,,,,
Müzik Prodüksiyonu,3.000 €,Sırpça,,,Uygulamalı Tiyatro,4.000 €,,,,,,,,,,,,,,,,,,,,
Video Oyunları Tasarımı,3.000 €,Sırpça,,,Görsel-işitsel Medya,4.000 €,,,,,,,,,,,,,,,,,,,,
Optometri ,3.000 €,Sırpça,,,Biyoloji Bilim Ustası,4.000 €,,,,,,,,,,,,,,,,,,,,
Biyoloji Lisans Derecesi,3.000 €,Sırpça,,,Ekoloji Bilim Ustası,4.000 €,,,,,,,,,,,,,,,,,,,,
Ekoloji Bilim Lisansı,3.000 €,Sırpça,,,Üreme Biyolojisinde Bilim Ustası,4.000 €,,,,,,,,,,,,,,,,,,,,
Fizikte Bilim Lisansı,3.000 €,Sırpça,,,Fizikte Yüksek Lisans Akademik Çalışmaları,4.000 €,,,,,,,,,,,,,,,,,,,,
Coğrafya Bilim Lisansı,3.000 €,Sırpça,,,Coğrafya Bilim Ustası,4.000 €,,,,,,,,,,,,,,,,,,,,
Jeoinformatik,3.000 €,Sırpça,,,Coğrafya Öğretiminde Bilim Ustası,4.000 €,,,,,,,,,,,,,,,,,,,,
Coğrafya Öğretmenliği Lisans Derecesi,3.000 €,Sırpça,,,Turizm Bilim Ustası,4.000 €,,,,,,,,,,,,,,,,,,,,
Turizm Bilim Lisansı,3.000 €,Sırpça,,,Kültürel Turizm ve Kültürel Miras Yönetiminde Yüksek Lisans Akademik Çalışmaları,4.000 €,,,,,,,,,,,,,,,,,,,,
Kimya Bilim Lisans Derecesi,3.000 €,Sırpça,,,Kimya Bilim Ustası,4.000 €,,,,,,,,,,,,,,,,,,,,
Kimya Bilim Lisansı - Kalite Kontrol ve Çevre Yönetimi,3.000 €,Sırpça,,,Biyokimya Bilim Ustası,4.000 €,,,,,,,,,,,,,,,,,,,,
Biyokimya Bilim Lisansı,3.000 €,Sırpça,,,Çevre Koruma Bilim Ustası,4.000 €,,,,,,,,,,,,,,,,,,,,
Çevre Koruma Bilim Lisansı - Çevre Koruma Analisti,3.000 €,Sırpça,,,Matematik Bilim Ustası,4.000 €,,,,,,,,,,,,,,,,,,,,
Matematik,3.000 €,Sırpça,,,Uygulamalı Matematik Bilim Ustası,4.000 €,,,,,,,,,,,,,,,,,,,,
Uygulamalı matematik,3.000 €,Sırpça,,,Uygulamalı Matematik Bilim Ustası: Veri Bilimi,4.000 €,,,,,,,,,,,,,,,,,,,,
Bilgisayar Bilimi,3.000 €,Sırpça,,,Bilgisayar Bilimi,4.000 €,,,,,,,,,,,,,,,,,,,,
Bilgi Teknolojisi,3.000 €,Sırpça,,,Bilişim Teknolojileri,4.000 €,,,,,,,,,,,,,,,,,,,,
"Doğa bilimleri, matematik ve bilişim öğretimine yönelik entegre akademik iki ana çalışma",3.000 €,Sırpça,,,Yapay Zeka,4.000 €,,,,,,,,,,,,,,,,,,,,
Biyoloji Yüksek Lisans Profesörü,3.000 €,Sırpça,,,"Finans, Bankacılık ve Sigortacılık",4.000 €,,,,,,,,,,,,,,,,,,,,
Fizik Öğretiminde Yüksek Lisans Profesörü,3.000 €,Sırpça,,,Pazarlama,4.000 €,,,,,,,,,,,,,,,,,,,,
Matematik Öğretiminde Yüksek Lisans Profesörü,3.000 €,Sırpça,,,Muhasebe ve Denetim,4.000 €,,,,,,,,,,,,,,,,,,,,
Kimya Öğretiminin Bütünleşik Akademik Çalışmaları,3.000 €,Sırpça,,,Tarım İşletmeciliği,4.000 €,,,,,,,,,,,,,,,,,,,,
ekonomi,3.000 €,Sırpça,,,Uluslararası Ekonomi ve İşletme,4.000 €,,,,,,,,,,,,,,,,,,,,
İşletme Bilişimi,3.000 €,Sırpça,,,Finans ve Bankacılık Yönetimi,4.000 €,,,,,,,,,,,,,,,,,,,,
Uluslararası ve Avrupa Ekonomisi ve Ticareti*,3.000 €,Sırpça,,,Dijital Pazarlama,4.000 €,,,,,,,,,,,,,,,,,,,,
İş Bilgi Sistemleri*,3.000 €,Sırpça,,,Liderlik ve İnsan Kaynakları Yönetimi,4.000 €,,,,,,,,,,,,,,,,,,,,
Muhasebe ve Denetim*,3.000 €,Sırpça,,,Çok Kanallı Ticaret,4.000 €,,,,,,,,,,,,,,,,,,,,
Yönetmek*,3.000 €,Sırpça,,,İşletme Bilişimi,4.000 €,,,,,,,,,,,,,,,,,,,,
"*her üçüncü veya dördüncü yılda bir, Bujanovac Departmanı",3.000 €,Sırpça,,,İş Dünyasında Gelişmiş Veri Analitiği,4.000 €,,,,,,,,,,,,,,,,,,,,
Yazılım ve Bilgi Teknolojileri,3.000 €,Sırpça,,,Elektrik Mühendisliği,4.000 €,,,,,,,,,,,,,,,,,,,,
Elektrik Mühendisliği,3.000 €,Sırpça,,,Mühendislik Yönetimi - MBA,4.000 €,,,,,,,,,,,,,,,,,,,,
Üretim Mühendisliği,3.000 €,Sırpça,,,Üretim Mühendisliği,4.000 €,,,,,,,,,,,,,,,,,,,,
Mekanizasyon ve İnşaat Mühendisliği,3.000 €,Sırpça,,,Mühendislik Yönetimi,4.000 €,,,,,,,,,,,,,,,,,,,,
Enerji ve Proses Mühendisliği,3.000 €,Sırpça,,,Hemşirelikte yüksek lisans akademik çalışmaları,4.000 €,,,,,,,,,,,,,,,,,,,,
Teknik Mekanik ve Teknik Tasarım,3.000 €,Sırpça,,,Özel eğitim ve rehabilitasyon alanında yüksek lisans akademik çalışmaları,4.000 €,,,,,,,,,,,,,,,,,,,,
"Güç, Elektronik ve Telekomünikasyon Mühendisliği",3.000 €,Sırpça,,,Tıbbi rehabilitasyon alanında yüksek lisans akademik çalışmaları,4.000 €,,,,,,,,,,,,,,,,,,,,
Hesaplama ve Kontrol Mühendisliği,3.000 €,Sırpça,,,Erken çocukluk müdahalesi,4.000 €,,,,,,,,,,,,,,,,,,,,
Güç Yazılım Mühendisliği,3.000 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Ölçme ve Kontrol Mühendisliği,3.000 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Yazılım Mühendisliği ve Bilişim Teknolojileri,3.000 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Biyomedikal mühendisliği,3.000 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
İnşaat mühendisliği,3.000 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Afet Risk Yönetimi ve Yangın Güvenliği,3.000 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Mimari,3.000 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
"Sahne Mimarisi, Teknik ve Tasarım",3.000 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Trafik ve Ulaştırma Mühendisliği,3.000 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Posta Trafiği ve Telekomünikasyon,3.000 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Endüstri Mühendisliği,3.000 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Mühendislik Yönetimi,3.000 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Bilgi Sistemleri Mühendisliği,3.000 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Grafik Mühendisliği ve Tasarım,3.000 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Çevre Mühendisliği,3.000 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
İş güvenliği,3.000 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
mekatronik,3.000 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Jeodezi ve Jeoinformatik,3.000 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Mühendislik Animasyonu,3.000 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Temiz Enerji Teknolojileri,3.000 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Bilgi Mühendisliği,3.000 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
UzmanLIK akademik çalışmalar - Erken çocukluk müdahalesi,3.000 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Radyoloji teknolojisi,3.000 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Hemşirelik,3.000 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Özel eğitim ve rehabilitasyon,3.000 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
engelli,3.000 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
logopedi,3.000 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Kapsayıcı eğitim,3.000 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Tıbbi rehabilitasyon,3.000 €,Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Pedagoji,,,,,,,,,,,,,,,,,,,,,
,,,,,Sosyal Korumada Sosyoloji,,,,,,,,,,,,,,,,,,,,,
BELGRAD METROPOLİTAN ÜNİVERSİTESİ,UCRET,DİL,,EK BİLGİLER,YUKSEK LİSANS ,UCRET,DİL,DOKTORA,UCRET,DİL,,,,,,,,,,,,,,,,
Bilgi Teknolojileri,5000€ 2800€,İngilizce*Sırpça,,Lisans Eğitimleri alan Öğrenciler,Yazılım Mühendisliği,5000€ 2800€,İngilizce*Sırpça,Yeni Medya Tasarımı,7000€ 4000€,İngilizce*Sırpça,,,,,,,,,,,,,,,,
Bilgi Sistemi,5000€ 2800€,İngilizce*Sırpça,,Java Programlarının Temelleri,Bilgi Sistemi,5000€ 2800€,İngilizce*Sırpça,Yazılım Mühendisliği,7000€ 4000€,İngilizce*Sırpça,,,,,,,,,,,,,,,,
Yazılım Mühendisliği,5000€ 2800€,İngilizce*Sırpça,,Java Gelişmiş Programlama,Bilgi Güvenliği,5000€ 2800€,İngilizce*Sırpça,Yönetim ve Geliştirme,7000€ 4000€,İngilizce*Sırpça,,,,,,,,,,,,,,,,
Oyun Geliştirme ,5000€ 2800€,İngilizce*Sırpça,,60 kredilik bir programdır Online Verilmektedir ,Yeni Medya Tasarımı,5000€ 2800€,İngilizce*Sırpça,,,,,,,,,,,,,,,,,,,
Mühendislik ve Operasyon Yönetimi,5000€ 2300€,İngilizce*Sırpça,,,Pazarlama Yönetimi,5000€ 2800€,İngilizce*Sırpça,,,,,,,,,,,,,,,,,,,
İş ve Pazarlama,5000€ 2300€,İngilizce*Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Moda Tasarım,5000€ 2400€,İngilizce*Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
Grafik Dizayn,5000€ 2300€,İngilizce*Sırpça,,,,,,,,,,,,,,,,,,,,,,,,
