                         MOLDOVA ÜNİVERSİTELERİ ,,ÜNİVERSİTE ÜCRETLERİ YILLIK HESAPLANMIŞTIR LEİ OLARAK OKULLARA ÖDEME YAPILIR ,,,,,,
MOLDOVA USEM  HUKUK AKADEMİSİ ,Hukuk,1.300 €,Romence*Rusça,4 Yıl*ULİM ÜNİVERSİTESİNE BAĞLIDIR,Kayıt Masrafları ve Rehberlik 1000€,,,
Fizyoterapi ve Mesleki Terapi,2.300 €,Rusça*Romence,4 Yıl,Seyahat Sigortası ,YURT,Kişisel ve Mülkiyet Güvenliği Yönetimi,,
Sivil ve Kamu Güvenliği ,2.300 €,Rusça*Romence,3 Yıl,Yeme ve İçme (Market),70€*85*90*100€ ,,,
Antrenorlük ,2.300 €,Rusça*Romence,4 Yıl,Vize 90€*Oturum İzni 100€,Ev 100*300€,,,
Sivil Güvenlik,2.300 €,Rusça*Romence,4 Yıl,2500€ Bankada Gösterilir,,,,
MOLDOVA GÜZEL SANATLAR AKADEMİSİ,LİSANS YILLIK,DİL PEDAGOJİ ÜNİVERSİTESİ,YIL,EK GİDERLER ,YÜKSEKLİSANS,ÜCRET,DİL,YIL
"Klavye Enstrümanları (Piyona, Org) ",3.000 €,Romence,4 Yıl,Kayıt Masrafları ve Rehberlik 1000€,Animasyon*Oyun Tasarımı,3.000 €,Romence,4 Yıl
Orkestra Enstrümanları,4.000 €,Romence,4 Yıl,Evrak İşlemleri Onaya Hazırlanması,,,,
Halk Aletleri,3.000 €,Romence,4 Yıl,Bakanlık ve Okul Kayıt Harcı,,,,
"Jazz Çeşit Aletleri Vokal (Akademik halk, pop, caz)",3.000 €,Romence,4 Yıl,Onayın ve İkamet bildirimi,,,,
Popüler Şan Eğitimi,3.600 €,Romence,4 Yıl,Bireysel Seyahat Giderleri,,,,
Koro Şefliği,5.000 €,Romence,4 Yıl,Konaklama Giderleri,,,,
Vokal Şarkıcılık* Beste yorumculuğu,5.000 €,Romence,4 Yıl,Seyahat Sigortası ,,,,
Kompozisyon(Klasik Estrano- jazz),3.000 €,Romence,4 Yıl,Yeme ve İçme (Market),,,,
Müzik Bilimi,3.000 €,Romence,4 Yıl,Vize 90€*Oturum İzni 100€,,,,
Müzikal Pedagoji,3.000 €,Romence,4 Yıl,2500€ Bankada Gösterilir,,,,
Dans,3.000 €,Romence,4 Yıl,Konsolosluklar,,,,
Tiyatro,1.800 €,Romence,4 Yıl,İstanbul Bursa Antalya*Ankara,,,,
Sahne Tasarımı ,1.800 €,Romence,4 Yıl,EĞİTİMLER ,,,,
Drama,1.800 €,Romence,4 Yıl,3+2* 4+1  Şeklindendir ,,,,
Film Yönetmenliği,3.000 €,Romence,4 Yıl,1 ve 2 Yükseklisanslardır.,,,,
Tiyatro çalışmaları ve Tiyatro Yönetimi,1.800 €,Romence,4 Yıl,KONAKLAMA ,,,,
Koreografi,1.800 €,Romence,4 Yıl,YURT,,,,
Aktörlük,3.000 €,Romence,4 Yıl,70€*85*90*100€ ,,,,
Film ve Televizyon Yönetmenliği,3.000 €,Romence,4 Yıl,Ev 100*300€,,,,
Sinema ve Televizyon montaj,3.000 €,Romence,4 Yıl,İsim Soyad Değişikliği Belgesi,,,,
Film ve Televizyon  yapımı,3.000 €,Romence,4 Yıl,,,,,
Multimedya,3.000 €,Romence,4 Yıl,,,,,
Kültürel çalışmalar,1.800 €,Romence,4 Yıl,,,,,
Moda,3.000 €,Romence,4 Yıl,,,,,
Moda Tasarımı,3.000 €,Romence,4 Yıl,,,,,
SahneTasarımı ,1.800 €,Romence,4 Yıl,,,,,
Sanat Yönetmenliği ve Kültüroloji,3.000 €,Romence,4 Yıl,,,,,
Resim,1.800 €,Romence,4 Yıl,,,,,
Grafik,1.800 €,Romence,4 Yıl,,,,,
Heykel,1.800 €,Romence,4 Yıl,,,,,
Güzel Sanatlar Tarihi ve teorisi,1.800 €,Romence,4 Yıl,,,,,
Dekoratif Sanat ve El sanatları,1.800 €,Romence,4 Yıl,,,,,
Sanat eserlerinin Restarasyonu ve Depolanması,3.000 €,Romence,4 Yıl,,,,,
Plastik Sanatlar,3.000 €,Romence,4 Yıl,,,,,
Vucut Geliştirme ,3.000 €,Romence,4 Yıl,,,,,
Animasyon*Oyun Tasarımı,3.000 €,Romence,4 Yıl,,,,,
ULİM ÜNİVERSİTESİ ,LİSANS YILLIK,DİL 650 EURO, YIl,EK GİDERLER ,YUKSEK LİSANS 1300€ 1.5*2 Yıl ,,DOKTORA ,3 YIL
Hukuk,1.300 €,Romence*Rusça,4 Yıl,Kayıt Masrafları ve Rehberlik 1000€,Klinik Psikoloji,1.800 €,Elektrik ve Bilgi Mühendisliği,1.300 €
İktisat,1.300 €,,4 Yıl,Evrak İşlemleri Onaya Hazırlanması,Psikolojik danışmanlık,1.800 €,Psikoloji ve Sosyal Psikoloji,1.300 €
BiyoMedikal Mühendisliği,1.300 €,Romence*Rusça,4 Yıl,Bakanlık ve Okul Kayıt Harcı,Eğitim Danışmanliği okul entegrasyonu,1.800 €,Ekonomi Finans Pazarlama Lojistik,1.300 €
Ekoloji,1.300 €,Romence*Rusça,4 Yıl,Onayın ve İkamet bildirimi,Sosyal*Ekonomik Pedagoji,1.800 €,Kamu Hukuku,1.650 €
Bilgi Teknolojileri ,1.650 €,,4 Yıl,Bireysel Seyahat Giderleri,Sosyal Hizmetler Yönetimi,1.800 €,İdari Hukuk,1.650 €
Bilgi Güvenliği,1.150 €,Romence*Rusça,4 Yıl,Konaklama Giderleri,Sosyal Yardım Sosyal Uzmanlık Çalışmaları,1.800 €,Bnkacılık Maliye Gümrük,1.650 €
Bilgisayar Bilimi,1.150 €,Romence*Rusça,4 Yıl,Seyahat Sigortası ,Kozmetik Tıp  ve SPA ,1.800 €,Uluslararası Hukuk ve Avrupa Hukuku ,1.650 €
Bilgisayar Tasarımı,1.150 €,Romence*Rusça,4 Yıl,Yeme ve İçme (Market),Edebiyat,1.400 €,Hukuk Kriminolojisi,1.650 €
Uluslararası İlişkiler,1.600 €,Romence*Rusça,4 Yıl,Vize 90€*Oturum İzni 100€,Bilişim ve Tasarım,1.800 €,Ceza Hukuku ve İnfazı,1.650 €
Siyaset Bilimleri,1.300 €,Romence*Rusça,4 Yıl,2500€ Bankada Gösterilir,Adli Psikoloji ,1.400 €,Siyasal Bilimler ,1.300 €
Gazetecilik ve Medya ,1.500 €,Romence*Rusça,4 Yıl,Konsolosluklar,Askeri Psikoloji ,1.400 €,Avrupa Politikaları ve Süreçleri,1.300 €
Muhasebe,1.850 €,Romence*Rusça,4 Yıl,İstanbul Bursa Antalya*Ankara,Örgutsel ve İnsan Kaymakları Psikolojisi,1.400 €,Tarih,1.300 €
Finans ve Bankacılık,1.850 €,Romence*Rusça,4 Yıl,EĞİTİMLER ,Sosyal Bilimler,1.400 €,Felsefe,1.300 €
Otel Hizmetleri*Turizm ve Eğlence,1.720 €,Romence*Rusça,4 Yıl,3+2* 4+1  Şeklindendir ,Siyaset Bilimi  Diplomasi  ve Güvenlik,1.400 €,Dil Bilimleri,1.300 €
Dünya Ekonomisi ve Uluslararası Ekonomik İlişkiler,1.850 €,Romence*Rusça,4 Yıl,1 ve 2 Yükseklisanslardır.,Gazetecilik İş ve İletişim,1.400 €,Arkeoloji ,1.300 €
Pazarlama  ve Lojistik,1.850 €,Romence*Rusça,4 Yıl,KONAKLAMA ,Medya Yönetimi,1.400 €,Plastık sanatlar,1.300 €
İşletme ve Yönetimi,1.850 €,Romence*Rusça,4 Yıl,YURT,Pazarlama ve İş İletişimi,1.400 €,Beşeri Bilimler,1.300 €
Psikopedagoji,1.300 €,Romence*Rusça,4 Yıl,70€*85*90*100€ ,Hukuk ve İdare hukuku,1.400 €,Karşılaştırmalı Edebiyat,1.300 €
Sosyal Hizmetler,1.300 €,Romence*Rusça,4 Yıl,Ev 100*300€,Hukuksal Yolsuzlukla Mücadele ,1.400 €,,
Psikoloji ,1.500 €,Romence*Rusça,4 Yıl,İsim Soyad Değişikliği Belgesi,Uluslararası Hukuk,1.400 €,,
İç Dizayn,1.500 €,Romence*Rusça,4 Yıl,,,,,
Cevirmenlik,1.600 €,Romence*Rusça,4 Yıl,,,,,
İletişim  Bilimleri,1.500 €,Romence*Rusça,4 Yıl,,,,,
Sosyoloji,1.500 €,Romence*Rusça,4 Yıl,,,,,
BiyoTıp (Estetik Kozmetik),1.500 €,Romence*Rusça,4 Yıl,,,,,
MOLDOVA DEVLET TARIM ÜNİVERSİTESİ,LİSANS YILLIK,DİL PEDAGOJI ÜNİVERSİTESİ ,YIL,EK GİDERLER ,EK GİDERLER ,,,
Veterinerlik ,1500€ * 2200€ ,Romence*İngilizce,5.5 Yıl,Kayıt Masrafları ve Rehberlik 1000€,Vize 90€*Oturum İzni 100€,,,
Tarım Ekonomisi ,1.500 €,Romence,3-4 Yıl,Evrak İşlemleri Onaya Hazırlanması,2500€ Bankada Gösterilir,,,
Agronomi,1.500 €,Romence,3-4 Yıl,Bakanlık ve Okul Kayıt Harcı,Konsolosluklar,,,
Tarım Bilimi,1.500 €,Romence,3-4 Yıl,Onayın ve İkamet bildirimi,İstanbul Bursa Antalya*Ankara,,,
Bahçecilik,1.500 €,Romence,3-4 Yıl,Bireysel Seyahat Giderleri,EĞİTİMLER ,,,
Hayvancılık ve Biyo- Teknoloji,1.500 €,Romence,3-4 Yıl,Konaklama Giderleri,3+2* 4+1  Şeklindendir ,,,
"Ziraat Mühendisliği, Kadastro",1.500 €,Romence,3-4 Yıl,Seyahat Sigortası ,1 ve 2 Yükseklisanslardır.,,,
Ulaştırma ve Otomobil Taşımacılığı,1.500 €,Romence,4 Yıl,Yeme ve İçme (Market),KONAKLAMA ,,,
,,,,İsim Soyad Değişikliği Belgesi,YURT,,,
,,,,,70€*85*90*100€ ,,,
,,,,,Ev 100*300€,,,
               MOLDOVA BİLİMLER AKADEMİSİ ,LİSANS YILLIK,DİL PEDAGOJI ÜNİVERSİTESİ ,YIL,EK GİDERLER ,YUKSEK LİSANS 3000€,,,
Kimya ,2.850 €,Romence,,Kayıt Masrafları ve Rehberlik 1000€,PsikoPedagoji ,,,
Biyofarmarmosötik Kimya,2.850 €,Romence,,Evrak İşlemleri Onaya Hazırlanması,Moleküler Biyoloji,,,
Ekoloji ve Cevre Kimyası,2.850 €,Romence,,Bakanlık ve Okul Kayıt Harcı,Cevre Bilimleri,,,
Moleküler Biyoloji,2.850 €,Romence,,Onayın ve İkamet bildirimi,Biyoekonomi ve Ekoloji,,,
Biyoloji,2.850 €,Romence,,Bireysel Seyahat Giderleri,Kültürlerarası İletişim,,,
Siyaset Bilimleri,2.850 €,Romence,,Konaklama Giderleri,Avrupa Kültürleri,,,
Edebiyat,2.850 €,Romence,,Seyahat Sigortası ,Ulusal Güvenik,,,
Felsefe,2.850 €,Romence,,Yeme ve İçme (Market),Uygulamalı Bilişim,,,
Bilişim,2.850 €,Romence,,Vize 90€*Oturum İzni 100€,Matematik ve Bilişim,,,
Coğrafya,2.850 €,Romence,,2500€ Bankada Gösterilir,Fizik,,,
Yer Bilimleri,2.850 €,Romence,,Konsolosluklar,Kimya,,,
Fizik*Fizik Bilimleri ve Mühendisliği,2.850 €,Romence,,İstanbul Bursa Antalya*Ankara,Biyoloji ,,,
Halk Sağlığı,2.850 €,Romence,,EĞİTİMLER ,,,,
NanoTeknoloji,2.850 €,Romence,,3+2* 4+1  Şeklindendir ,,,,
Endüstri Mühendisliği,2.850 €,Romence,,1 ve 2 Yükseklisanslardır.,,,,
Tarımsal BiyoTeknolojiler,2.850 €,Romence,,KONAKLAMA ,,,,
Enerji Dönüşüm Sistemleri Yenileyici Mühendisliği,2.850 €,Romence,,YURT,,,,
İlaç Bilimi,2.850 €,Romence,,70€*85*90*100€ ,,,,
Hukuk,2.850 €,Romence,,Ev 100€*300€,,,,
İletişim ve Halkla İlişkiler,2.850 €,Romence,,İsim Soyad Değişikliği Belgesi,,,,
Gazetecilik,2.850 €,Romence,,,,,,
Sosyoloji,2.850 €,Romence,,,,,,
Matematik,2.850 €,Romence,,,,,,
Bilgi Bilimleri,2.850 €,Romence,,,,,,
Tarih,2.850 €,Romence,,,,,,
Bilgisayar Bilimleri,2.850 €,Romence,,,,,,
Tarım,2.850 €,Romence,,,,,,
Biyolojik ve Yaşam Bilimleri,2.850 €,Romence,,,,,,
GİRNE AMERİKAN ÜNİVERSİTESİ ,,,,,,,,
 Mimarlık ,2.700 €,,,,,,,
Psikoloji ,2.700 €,,,,,,,
Uluslararası İlişkiler,2.700 €,,,,,,,
Siyasal Bilimler,2.700 €,,,,,,,
Turizm ve Konaklama işletmeciliği,2.700 €,,,,,,,
Lojistik ve Pazarlama,2.700 €,,3yıl Moldova Sonyıl Kıbrıs,,,,,
İşletme  *Muhasebe,2.700 €,,,,,,,
Ekonomi,2.700 €,,,,,,,
Finans ve Bankacılık,2.700 €,,,,,,,
